epoch,accuracy,loss,val_accuracy,val_loss
0,0.3656241297721863,1.3299919366836548,0.42363113164901733,1.2784321308135986
1,0.6437863111495972,0.991543710231781,0.6455331444740295,0.9314636588096619
2,0.7910323739051819,0.5845460891723633,0.6772334575653076,0.796708881855011
3,0.846388041973114,0.4208337068557739,0.6829971075057983,0.809748649597168
4,0.8790478706359863,0.3375917077064514,0.6887608170509338,0.8094887137413025
5,0.9064489603042603,0.274918794631958,0.6772334575653076,0.8390589356422424
6,0.9269305467605591,0.23063436150550842,0.6657060384750366,0.9157903790473938
7,0.9371713399887085,0.19324244558811188,0.6714697480201721,0.9588719010353088
8,0.949349582195282,0.16373537480831146,0.6714697480201721,1.0465891361236572
9,0.9582064747810364,0.14339379966259003,0.6743515729904175,1.0890370607376099
10,0.9626349210739136,0.12818780541419983,0.6714697480201721,1.1227236986160278
11,0.9667866230010986,0.11296085268259048,0.6599423885345459,1.205716609954834
12,0.9673401713371277,0.1074402704834938,0.6714697480201721,1.2508351802825928
13,0.9698311686515808,0.0981912612915039,0.6599423885345459,1.2678099870681763
14,0.9701079726219177,0.09420227259397507,0.6772334575653076,1.3079866170883179
15,0.973429262638092,0.09194716811180115,0.6743515729904175,1.3883010149002075
16,0.9748131632804871,0.0869797021150589,0.680115282535553,1.3761162757873535
17,0.9753667116165161,0.07900416105985641,0.6657060384750366,1.3939321041107178
18,0.9781345129013062,0.07254979759454727,0.6858789920806885,1.4306693077087402
19,0.9748131632804871,0.07972489297389984,0.6570605039596558,1.5254275798797607
20,0.974259614944458,0.08215724676847458,0.6657060384750366,1.5301295518875122
21,0.9778577089309692,0.07233426719903946,0.6743515729904175,1.5045320987701416
22,0.9775809645652771,0.06699250638484955,0.6858789920806885,1.4943275451660156
23,0.976473867893219,0.06599666178226471,0.6829971075057983,1.5358831882476807
24,0.9789648652076721,0.06748279184103012,0.6916426420211792,1.550766110420227
